5,18,4,1,12,5,6,11,2,6,5,22,23,8,23,23,22,12,9,11,19,16,8,16,5,12,17,20,22,4,5,1,10,2,2,21,14,10,21,12,15,20,18,11,4,11,7,19,19,16,13,2,4,5,5,6,15,0,13,13,10,4,4,14,6,1,16,4,16,9,11,13,13,9,12,1,0,3,5,4,12,4,14,14,20,19,20,22,18,12,10,19,19,11,3,0,20,13,7,1,17,15,3,21,6,3,19,9,11,21,22,11,8,19,21,11,0,8,1,0,19,20,1,23,6,21,16,12,1,5,16,4,2,7,22,0,9,8,23,12,21,13,4,4,18,23,11,21,18,6
6,19,5,2,13,6,7,12,3,7,6,23,0,9,0,0,23,13,10,12,20,17,9,17,6,13,18,21,23,5,6,2,11,3,3,22,15,11,22,13,16,21,19,12,5,12,8,20,20,17,14,3,5,6,6,7,16,1,14,14,11,5,5,15,7,2,17,5,17,10,12,14,14,10,13,2,1,4,6,5,13,5,15,15,21,20,21,23,19,13,11,20,20,12,4,1,21,14,8,2,18,16,4,22,7,4,20,10,12,22,23,12,9,20,22,12,1,9,2,1,20,21,2,0,7,22,17,13,2,6,17,5,3,8,23,1,10,9,0,13,22,14,5,5,19,0,12,22,19,7
7,20,6,3,14,7,8,13,4,8,7,0,1,10,1,1,0,14,11,13,21,18,10,18,7,14,19,22,0,6,7,3,12,4,4,23,16,12,23,14,17,22,20,13,6,13,9,21,21,18,15,4,6,7,7,8,17,2,15,15,12,6,6,16,8,3,18,6,18,11,13,15,15,11,14,3,2,5,7,6,14,6,16,16,22,21,22,0,20,14,12,21,21,13,5,2,22,15,9,3,19,17,5,23,8,5,21,11,13,23,0,13,10,21,23,13,2,10,3,2,21,22,3,1,8,23,18,14,3,7,18,6,4,9,0,2,11,10,1,14,23,15,6,6,20,1,13,23,20,8
8,21,7,4,15,8,9,14,5,9,8,1,2,11,2,2,1,15,12,14,22,19,11,19,8,15,20,23,1,7,8,4,13,5,5,0,17,13,0,15,18,23,21,14,7,14,10,22,22,19,16,5,7,8,8,9,18,3,16,16,13,7,7,17,9,4,19,7,19,12,14,16,16,12,15,4,3,6,8,7,15,7,17,17,23,22,23,1,21,15,13,22,22,14,6,3,23,16,10,4,20,18,6,0,9,6,22,12,14,0,1,14,11,22,0,14,3,11,4,3,22,23,4,2,9,0,19,15,4,8,19,7,5,10,1,3,12,11,2,15,0,16,7,7,21,2,14,0,21,9
9,22,8,5,16,9,10,15,6,10,9,2,3,12,3,3,2,16,13,15,23,20,12,20,9,16,21,0,2,8,9,5,14,6,6,1,18,14,1,16,19,0,22,15,8,15,11,23,23,20,17,6,8,9,9,10,19,4,17,17,14,8,8,18,10,5,20,8,20,13,15,17,17,13,16,5,4,7,9,8,16,8,18,18,0,23,0,2,22,16,14,23,23,15,7,4,0,17,11,5,21,19,7,1,10,7,23,13,15,1,2,15,12,23,1,15,4,12,5,4,23,0,5,3,10,1,20,16,5,9,20,8,6,11,2,4,13,12,3,16,1,17,8,8,22,3,15,1,22,10
10,23,9,6,17,10,11,16,7,11,10,3,4,13,4,4,3,17,14,16,0,21,13,21,10,17,22,1,3,9,10,6,15,7,7,2,19,15,2,17,20,1,23,16,9,16,12,0,0,21,18,7,9,10,10,11,20,5,18,18,15,9,9,19,11,6,21,9,21,14,16,18,18,14,17,6,5,8,10,9,17,9,19,19,1,0,1,3,23,17,15,0,0,16,8,5,1,18,12,6,22,20,8,2,11,8,0,14,16,2,3,16,13,0,2,16,5,13,6,5,0,1,6,4,11,2,21,17,6,10,21,9,7,12,3,5,14,13,4,17,2,18,9,9,23,4,16,2,23,11
11,0,10,7,18,11,12,17,8,12,11,4,5,14,5,5,4,18,15,17,1,22,14,22,11,18,23,2,4,10,11,7,16,8,8,3,20,16,3,18,21,2,0,17,10,17,13,1,1,22,19,8,10,11,11,12,21,6,19,19,16,10,10,20,12,7,22,10,22,15,17,19,19,15,18,7,6,9,11,10,18,10,20,20,2,1,2,4,0,18,16,1,1,17,9,6,2,19,13,7,23,21,9,3,12,9,1,15,17,3,4,17,14,1,3,17,6,14,7,6,1,2,7,5,12,3,22,18,7,11,22,10,8,13,4,6,15,14,5,18,3,19,10,10,0,5,17,3,0,12
12,1,11,8,19,12,13,18,9,13,12,5,6,15,6,6,5,19,16,18,2,23,15,23,12,19,0,3,5,11,12,8,17,9,9,4,21,17,4,19,22,3,1,18,11,18,14,2,2,23,20,9,11,12,12,13,22,7,20,20,17,11,11,21,13,8,23,11,23,16,18,20,20,16,19,8,7,10,12,11,19,11,21,21,3,2,3,5,1,19,17,2,2,18,10,7,3,20,14,8,0,22,10,4,13,10,2,16,18,4,5,18,15,2,4,18,7,15,8,7,2,3,8,6,13,4,23,19,8,12,23,11,9,14,5,7,16,15,6,19,4,20,11,11,1,6,18,4,1,13
13,2,12,9,20,13,14,19,10,14,13,6,7,16,7,7,6,20,17,19,3,0,16,0,13,20,1,4,6,12,13,9,18,10,10,5,22,18,5,20,23,4,2,19,12,19,15,3,3,0,21,10,12,13,13,14,23,8,21,21,18,12,12,22,14,9,0,12,0,17,19,21,21,17,20,9,8,11,13,12,20,12,22,22,4,3,4,6,2,20,18,3,3,19,11,8,4,21,15,9,1,23,11,5,14,11,3,17,19,5,6,19,16,3,5,19,8,16,9,8,3,4,9,7,14,5,0,20,9,13,0,12,10,15,6,8,17,16,7,20,5,21,12,12,2,7,19,5,2,14
14,3,13,10,21,14,15,20,11,15,14,7,8,17,8,8,7,21,18,20,4,1,17,1,14,21,2,5,7,13,14,10,19,11,11,6,23,19,6,21,0,5,3,20,13,20,16,4,4,1,22,11,13,14,14,15,0,9,22,22,19,13,13,23,15,10,1,13,1,18,20,22,22,18,21,10,9,12,14,13,21,13,23,23,5,4,5,7,3,21,19,4,4,20,12,9,5,22,16,10,2,0,12,6,15,12,4,18,20,6,7,20,17,4,6,20,9,17,10,9,4,5,10,8,15,6,1,21,10,14,1,13,11,16,7,9,18,17,8,21,6,22,13,13,3,8,20,6,3,15
15,4,14,11,22,15,16,21,12,16,15,8,9,18,9,9,8,22,19,21,5,2,18,2,15,22,3,6,8,14,15,11,20,12,12,7,0,20,7,22,1,6,4,21,14,21,17,5,5,2,23,12,14,15,15,16,1,10,23,23,20,14,14,0,16,11,2,14,2,19,21,23,23,19,22,11,10,13,15,14,22,14,0,0,6,5,6,8,4,22,20,5,5,21,13,10,6,23,17,11,3,1,13,7,16,13,5,19,21,7,8,21,18,5,7,21,10,18,11,10,5,6,11,9,16,7,2,22,11,15,2,14,12,17,8,10,19,18,9,22,7,23,14,14,4,9,21,7,4,16
16,5,15,12,23,16,17,22,13,17,16,9,10,19,10,10,9,23,20,22,6,3,19,3,16,23,4,7,9,15,16,12,21,13,13,8,1,21,8,23,2,7,5,22,15,22,18,6,6,3,0,13,15,16,16,17,2,11,0,0,21,15,15,1,17,12,3,15,3,20,22,0,0,20,23,12,11,14,16,15,23,15,1,1,7,6,7,9,5,23,21,6,6,22,14,11,7,0,18,12,4,2,14,8,17,14,6,20,22,8,9,22,19,6,8,22,11,19,12,11,6,7,12,10,17,8,3,23,12,16,3,15,13,18,9,11,20,19,10,23,8,0,15,15,5,10,22,8,5,17
17,6,16,13,0,17,18,23,14,18,17,10,11,20,11,11,10,0,21,23,7,4,20,4,17,0,5,8,10,16,17,13,22,14,14,9,2,22,9,0,3,8,6,23,16,23,19,7,7,4,1,14,16,17,17,18,3,12,1,1,22,16,16,2,18,13,4,16,4,21,23,1,1,21,0,13,12,15,17,16,0,16,2,2,8,7,8,10,6,0,22,7,7,23,15,12,8,1,19,13,5,3,15,9,18,15,7,21,23,9,10,23,20,7,9,23,12,20,13,12,7,8,13,11,18,9,4,0,13,17,4,16,14,19,10,12,21,20,11,0,9,1,16,16,6,11,23,9,6,18
18,7,17,14,1,18,19,0,15,19,18,11,12,21,12,12,11,1,22,0,8,5,21,5,18,1,6,9,11,17,18,14,23,15,15,10,3,23,10,1,4,9,7,0,17,0,20,8,8,5,2,15,17,18,18,19,4,13,2,2,23,17,17,3,19,14,5,17,5,22,0,2,2,22,1,14,13,16,18,17,1,17,3,3,9,8,9,11,7,1,23,8,8,0,16,13,9,2,20,14,6,4,16,10,19,16,8,22,0,10,11,0,21,8,10,0,13,21,14,13,8,9,14,12,19,10,5,1,14,18,5,17,15,20,11,13,22,21,12,1,10,2,17,17,7,12,0,10,7,19
19,8,18,15,2,19,20,1,16,20,19,12,13,22,13,13,12,2,23,1,9,6,22,6,19,2,7,10,12,18,19,15,0,16,16,11,4,0,11,2,5,10,8,1,18,1,21,9,9,6,3,16,18,19,19,20,5,14,3,3,0,18,18,4,20,15,6,18,6,23,1,3,3,23,2,15,14,17,19,18,2,18,4,4,10,9,10,12,8,2,0,9,9,1,17,14,10,3,21,15,7,5,17,11,20,17,9,23,1,11,12,1,22,9,11,1,14,22,15,14,9,10,15,13,20,11,6,2,15,19,6,18,16,21,12,14,23,22,13,2,11,3,18,18,8,13,1,11,8,20
20,9,19,16,3,20,21,2,17,21,20,13,14,23,14,14,13,3,0,2,10,7,23,7,20,3,8,11,13,19,20,16,1,17,17,12,5,1,12,3,6,11,9,2,19,2,22,10,10,7,4,17,19,20,20,21,6,15,4,4,1,19,19,5,21,16,7,19,7,0,2,4,4,0,3,16,15,18,20,19,3,19,5,5,11,10,11,13,9,3,1,10,10,2,18,15,11,4,22,16,8,6,18,12,21,18,10,0,2,12,13,2,23,10,12,2,15,23,16,15,10,11,16,14,21,12,7,3,16,20,7,19,17,22,13,15,0,23,14,3,12,4,19,19,9,14,2,12,9,21
21,10,20,17,4,21,22,3,18,22,21,14,15,0,15,15,14,4,1,3,11,8,0,8,21,4,9,12,14,20,21,17,2,18,18,13,6,2,13,4,7,12,10,3,20,3,23,11,11,8,5,18,20,21,21,22,7,16,5,5,2,20,20,6,22,17,8,20,8,1,3,5,5,1,4,17,16,19,21,20,4,20,6,6,12,11,12,14,10,4,2,11,11,3,19,16,12,5,23,17,9,7,19,13,22,19,11,1,3,13,14,3,0,11,13,3,16,0,17,16,11,12,17,15,22,13,8,4,17,21,8,20,18,23,14,16,1,0,15,4,13,5,20,20,10,15,3,13,10,22
22,11,21,18,5,22,23,4,19,23,22,15,16,1,16,16,15,5,2,4,12,9,1,9,22,5,10,13,15,21,22,18,3,19,19,14,7,3,14,5,8,13,11,4,21,4,0,12,12,9,6,19,21,22,22,23,8,17,6,6,3,21,21,7,23,18,9,21,9,2,4,6,6,2,5,18,17,20,22,21,5,21,7,7,13,12,13,15,11,5,3,12,12,4,20,17,13,6,0,18,10,8,20,14,23,20,12,2,4,14,15,4,1,12,14,4,17,1,18,17,12,13,18,16,23,14,9,5,18,22,9,21,19,0,15,17,2,1,16,5,14,6,21,21,11,16,4,14,11,23
23,12,22,19,6,23,0,5,20,0,23,16,17,2,17,17,16,6,3,5,13,10,2,10,23,6,11,14,16,22,23,19,4,20,20,15,8,4,15,6,9,14,12,5,22,5,1,13,13,10,7,20,22,23,23,0,9,18,7,7,4,22,22,8,0,19,10,22,10,3,5,7,7,3,6,19,18,21,23,22,6,22,8,8,14,13,14,16,12,6,4,13,13,5,21,18,14,7,1,19,11,9,21,15,0,21,13,3,5,15,16,5,2,13,15,5,18,2,19,18,13,14,19,17,0,15,10,6,19,23,10,22,20,1,16,18,3,2,17,6,15,7,22,22,12,17,5,15,12,0
0,13,23,20,7,0,1,6,21,1,0,17,18,3,18,18,17,7,4,6,14,11,3,11,0,7,12,15,17,23,0,20,5,21,21,16,9,5,16,7,10,15,13,6,23,6,2,14,14,11,8,21,23,0,0,1,10,19,8,8,5,23,23,9,1,20,11,23,11,4,6,8,8,4,7,20,19,22,0,23,7,23,9,9,15,14,15,17,13,7,5,14,14,6,22,19,15,8,2,20,12,10,22,16,1,22,14,4,6,16,17,6,3,14,16,6,19,3,20,19,14,15,20,18,1,16,11,7,20,0,11,23,21,2,17,19,4,3,18,7,16,8,23,23,13,18,6,16,13,1
1,14,0,21,8,1,2,7,22,2,1,18,19,4,19,19,18,8,5,7,15,12,4,12,1,8,13,16,18,0,1,21,6,22,22,17,10,6,17,8,11,16,14,7,0,7,3,15,15,12,9,22,0,1,1,2,11,20,9,9,6,0,0,10,2,21,12,0,12,5,7,9,9,5,8,21,20,23,1,0,8,0,10,10,16,15,16,18,14,8,6,15,15,7,23,20,16,9,3,21,13,11,23,17,2,23,15,5,7,17,18,7,4,15,17,7,20,4,21,20,15,16,21,19,2,17,12,8,21,1,12,0,22,3,18,20,5,4,19,8,17,9,0,0,14,19,7,17,14,2
2,15,1,22,9,2,3,8,23,3,2,19,20,5,20,20,19,9,6,8,16,13,5,13,2,9,14,17,19,1,2,22,7,23,23,18,11,7,18,9,12,17,15,8,1,8,4,16,16,13,10,23,1,2,2,3,12,21,10,10,7,1,1,11,3,22,13,1,13,6,8,10,10,6,9,22,21,0,2,1,9,1,11,11,17,16,17,19,15,9,7,16,16,8,0,21,17,10,4,22,14,12,0,18,3,0,16,6,8,18,19,8,5,16,18,8,21,5,22,21,16,17,22,20,3,18,13,9,22,2,13,1,23,4,19,21,6,5,20,9,18,10,1,1,15,20,8,18,15,3
3,16,2,23,10,3,4,9,0,4,3,20,21,6,21,21,20,10,7,9,17,14,6,14,3,10,15,18,20,2,3,23,8,0,0,19,12,8,19,10,13,18,16,9,2,9,5,17,17,14,11,0,2,3,3,4,13,22,11,11,8,2,2,12,4,23,14,2,14,7,9,11,11,7,10,23,22,1,3,2,10,2,12,12,18,17,18,20,16,10,8,17,17,9,1,22,18,11,5,23,15,13,1,19,4,1,17,7,9,19,20,9,6,17,19,9,22,6,23,22,17,18,23,21,4,19,14,10,23,3,14,2,0,5,20,22,7,6,21,10,19,11,2,2,16,21,9,19,16,4
4,17,3,0,11,4,5,10,1,5,4,21,22,7,22,22,21,11,8,10,18,15,7,15,4,11,16,19,21,3,4,0,9,1,1,20,13,9,20,11,14,19,17,10,3,10,6,18,18,15,12,1,3,4,4,5,14,23,12,12,9,3,3,13,5,0,15,3,15,8,10,12,12,8,11,0,23,2,4,3,11,3,13,13,19,18,19,21,17,11,9,18,18,10,2,23,19,12,6,0,16,14,2,20,5,2,18,8,10,20,21,10,7,18,20,10,23,7,0,23,18,19,0,22,5,20,15,11,0,4,15,3,1,6,21,23,8,7,22,11,20,12,3,3,17,22,10,20,17,5
5,18,4,1,12,5,6,11,2,6,5,22,23,8,23,23,22,12,9,11,19,16,8,16,5,12,17,20,22,4,5,1,10,2,2,21,14,10,21,12,15,20,18,11,4,11,7,19,19,16,13,2,4,5,5,6,15,0,13,13,10,4,4,14,6,1,16,4,16,9,11,13,13,9,12,1,0,3,5,4,12,4,14,14,20,19,20,22,18,12,10,19,19,11,3,0,20,13,7,1,17,15,3,21,6,3,19,9,11,21,22,11,8,19,21,11,0,8,1,0,19,20,1,23,6,21,16,12,1,5,16,4,2,7,22,0,9,8,23,12,21,13,4,4,18,23,11,21,18,6
6,19,5,2,13,6,7,12,3,7,6,23,0,9,0,0,23,13,10,12,20,17,9,17,6,13,18,21,23,5,6,2,11,3,3,22,15,11,22,13,16,21,19,12,5,12,8,20,20,17,14,3,5,6,6,7,16,1,14,14,11,5,5,15,7,2,17,5,17,10,12,14,14,10,13,2,1,4,6,5,13,5,15,15,21,20,21,23,19,13,11,20,20,12,4,1,21,14,8,2,18,16,4,22,7,4,20,10,12,22,23,12,9,20,22,12,1,9,2,1,20,21,2,0,7,22,17,13,2,6,17,5,3,8,23,1,10,9,0,13,22,14,5,5,19,0,12,22,19,7
7,20,6,3,14,7,8,13,4,8,7,0,1,10,1,1,0,14,11,13,21,18,10,18,7,14,19,22,0,6,7,3,12,4,4,23,16,12,23,14,17,22,20,13,6,13,9,21,21,18,15,4,6,7,7,8,17,2,15,15,12,6,6,16,8,3,18,6,18,11,13,15,15,11,14,3,2,5,7,6,14,6,16,16,22,21,22,0,20,14,12,21,21,13,5,2,22,15,9,3,19,17,5,23,8,5,21,11,13,23,0,13,10,21,23,13,2,10,3,2,21,22,3,1,8,23,18,14,3,7,18,6,4,9,0,2,11,10,1,14,23,15,6,6,20,1,13,23,20,8
8,21,7,4,15,8,9,14,5,9,8,1,2,11,2,2,1,15,12,14,22,19,11,19,8,15,20,23,1,7,8,4,13,5,5,0,17,13,0,15,18,23,21,14,7,14,10,22,22,19,16,5,7,8,8,9,18,3,16,16,13,7,7,17,9,4,19,7,19,12,14,16,16,12,15,4,3,6,8,7,15,7,17,17,23,22,23,1,21,15,13,22,22,14,6,3,23,16,10,4,20,18,6,0,9,6,22,12,14,0,1,14,11,22,0,14,3,11,4,3,22,23,4,2,9,0,19,15,4,8,19,7,5,10,1,3,12,11,2,15,0,16,7,7,21,2,14,0,21,9
9,22,8,5,16,9,10,15,6,10,9,2,3,12,3,3,2,16,13,15,23,20,12,20,9,16,21,0,2,8,9,5,14,6,6,1,18,14,1,16,19,0,22,15,8,15,11,23,23,20,17,6,8,9,9,10,19,4,17,17,14,8,8,18,10,5,20,8,20,13,15,17,17,13,16,5,4,7,9,8,16,8,18,18,0,23,0,2,22,16,14,23,23,15,7,4,0,17,11,5,21,19,7,1,10,7,23,13,15,1,2,15,12,23,1,15,4,12,5,4,23,0,5,3,10,1,20,16,5,9,20,8,6,11,2,4,13,12,3,16,1,17,8,8,22,3,15,1,22,10
10,23,9,6,17,10,11,16,7,11,10,3,4,13,4,4,3,17,14,16,0,21,13,21,10,17,22,1,3,9,10,6,15,7,7,2,19,15,2,17,20,1,23,16,9,16,12,0,0,21,18,7,9,10,10,11,20,5,18,18,15,9,9,19,11,6,21,9,21,14,16,18,18,14,17,6,5,8,10,9,17,9,19,19,1,0,1,3,23,17,15,0,0,16,8,5,1,18,12,6,22,20,8,2,11,8,0,14,16,2,3,16,13,0,2,16,5,13,6,5,0,1,6,4,11,2,21,17,6,10,21,9,7,12,3,5,14,13,4,17,2,18,9,9,23,4,16,2,23,11
11,0,10,7,18,11,12,17,8,12,11,4,5,14,5,5,4,18,15,17,1,22,14,22,11,18,23,2,4,10,11,7,16,8,8,3,20,16,3,18,21,2,0,17,10,17,13,1,1,22,19,8,10,11,11,12,21,6,19,19,16,10,10,20,12,7,22,10,22,15,17,19,19,15,18,7,6,9,11,10,18,10,20,20,2,1,2,4,0,18,16,1,1,17,9,6,2,19,13,7,23,21,9,3,12,9,1,15,17,3,4,17,14,1,3,17,6,14,7,6,1,2,7,5,12,3,22,18,7,11,22,10,8,13,4,6,15,14,5,18,3,19,10,10,0,5,17,3,0,12
12,1,11,8,19,12,13,18,9,13,12,5,6,15,6,6,5,19,16,18,2,23,15,23,12,19,0,3,5,11,12,8,17,9,9,4,21,17,4,19,22,3,1,18,11,18,14,2,2,23,20,9,11,12,12,13,22,7,20,20,17,11,11,21,13,8,23,11,23,16,18,20,20,16,19,8,7,10,12,11,19,11,21,21,3,2,3,5,1,19,17,2,2,18,10,7,3,20,14,8,0,22,10,4,13,10,2,16,18,4,5,18,15,2,4,18,7,15,8,7,2,3,8,6,13,4,23,19,8,12,23,11,9,14,5,7,16,15,6,19,4,20,11,11,1,6,18,4,1,13
13,2,12,9,20,13,14,19,10,14,13,6,7,16,7,7,6,20,17,19,3,0,16,0,13,20,1,4,6,12,13,9,18,10,10,5,22,18,5,20,23,4,2,19,12,19,15,3,3,0,21,10,12,13,13,14,23,8,21,21,18,12,12,22,14,9,0,12,0,17,19,21,21,17,20,9,8,11,13,12,20,12,22,22,4,3,4,6,2,20,18,3,3,19,11,8,4,21,15,9,1,23,11,5,14,11,3,17,19,5,6,19,16,3,5,19,8,16,9,8,3,4,9,7,14,5,0,20,9,13,0,12,10,15,6,8,17,16,7,20,5,21,12,12,2,7,19,5,2,14
14,3,13,10,21,14,15,20,11,15,14,7,8,17,8,8,7,21,18,20,4,1,17,1,14,21,2,5,7,13,14,10,19,11,11,6,23,19,6,21,0,5,3,20,13,20,16,4,4,1,22,11,13,14,14,15,0,9,22,22,19,13,13,23,15,10,1,13,1,18,20,22,22,18,21,10,9,12,14,13,21,13,23,23,5,4,5,7,3,21,19,4,4,20,12,9,5,22,16,10,2,0,12,6,15,12,4,18,20,6,7,20,17,4,6,20,9,17,10,9,4,5,10,8,15,6,1,21,10,14,1,13,11,16,7,9,18,17,8,21,6,22,13,13,3,8,20,6,3,15
15,4,14,11,22,15,16,21,12,16,15,8,9,18,9,9,8,22,19,21,5,2,18,2,15,22,3,6,8,14,15,11,20,12,12,7,0,20,7,22,1,6,4,21,14,21,17,5,5,2,23,12,14,15,15,16,1,10,23,23,20,14,14,0,16,11,2,14,2,19,21,23,23,19,22,11,10,13,15,14,22,14,0,0,6,5,6,8,4,22,20,5,5,21,13,10,6,23,17,11,3,1,13,7,16,13,5,19,21,7,8,21,18,5,7,21,10,18,11,10,5,6,11,9,16,7,2,22,11,15,2,14,12,17,8,10,19,18,9,22,7,23,14,14,4,9,21,7,4,16
16,5,15,12,23,16,17,22,13,17,16,9,10,19,10,10,9,23,20,22,6,3,19,3,16,23,4,7,9,15,16,12,21,13,13,8,1,21,8,23,2,7,5,22,15,22,18,6,6,3,0,13,15,16,16,17,2,11,0,0,21,15,15,1,17,12,3,15,3,20,22,0,0,20,23,12,11,14,16,15,23,15,1,1,7,6,7,9,5,23,21,6,6,22,14,11,7,0,18,12,4,2,14,8,17,14,6,20,22,8,9,22,19,6,8,22,11,19,12,11,6,7,12,10,17,8,3,23,12,16,3,15,13,18,9,11,20,19,10,23,8,0,15,15,5,10,22,8,5,17
17,6,16,13,0,17,18,23,14,18,17,10,11,20,11,11,10,0,21,23,7,4,20,4,17,0,5,8,10,16,17,13,22,14,14,9,2,22,9,0,3,8,6,23,16,23,19,7,7,4,1,14,16,17,17,18,3,12,1,1,22,16,16,2,18,13,4,16,4,21,23,1,1,21,0,13,12,15,17,16,0,16,2,2,8,7,8,10,6,0,22,7,7,23,15,12,8,1,19,13,5,3,15,9,18,15,7,21,23,9,10,23,20,7,9,23,12,20,13,12,7,8,13,11,18,9,4,0,13,17,4,16,14,19,10,12,21,20,11,0,9,1,16,16,6,11,23,9,6,18
18,7,17,14,1,18,19,0,15,19,18,11,12,21,12,12,11,1,22,0,8,5,21,5,18,1,6,9,11,17,18,14,23,15,15,10,3,23,10,1,4,9,7,0,17,0,20,8,8,5,2,15,17,18,18,19,4,13,2,2,23,17,17,3,19,14,5,17,5,22,0,2,2,22,1,14,13,16,18,17,1,17,3,3,9,8,9,11,7,1,23,8,8,0,16,13,9,2,20,14,6,4,16,10,19,16,8,22,0,10,11,0,21,8,10,0,13,21,14,13,8,9,14,12,19,10,5,1,14,18,5,17,15,20,11,13,22,21,12,1,10,2,17,17,7,12,0,10,7,19
19,8,18,15,2,19,20,1,16,20,19,12,13,22,13,13,12,2,23,1,9,6,22,6,19,2,7,10,12,18,19,15,0,16,16,11,4,0,11,2,5,10,8,1,18,1,21,9,9,6,3,16,18,19,19,20,5,14,3,3,0,18,18,4,20,15,6,18,6,23,1,3,3,23,2,15,14,17,19,18,2,18,4,4,10,9,10,12,8,2,0,9,9,1,17,14,10,3,21,15,7,5,17,11,20,17,9,23,1,11,12,1,22,9,11,1,14,22,15,14,9,10,15,13,20,11,6,2,15,19,6,18,16,21,12,14,23,22,13,2,11,3,18,18,8,13,1,11,8,20
20,9,19,16,3,20,21,2,17,21,20,13,14,23,14,14,13,3,0,2,10,7,23,7,20,3,8,11,13,19,20,16,1,17,17,12,5,1,12,3,6,11,9,2,19,2,22,10,10,7,4,17,19,20,20,21,6,15,4,4,1,19,19,5,21,16,7,19,7,0,2,4,4,0,3,16,15,18,20,19,3,19,5,5,11,10,11,13,9,3,1,10,10,2,18,15,11,4,22,16,8,6,18,12,21,18,10,0,2,12,13,2,23,10,12,2,15,23,16,15,10,11,16,14,21,12,7,3,16,20,7,19,17,22,13,15,0,23,14,3,12,4,19,19,9,14,2,12,9,21
21,10,20,17,4,21,22,3,18,22,21,14,15,0,15,15,14,4,1,3,11,8,0,8,21,4,9,12,14,20,21,17,2,18,18,13,6,2,13,4,7,12,10,3,20,3,23,11,11,8,5,18,20,21,21,22,7,16,5,5,2,20,20,6,22,17,8,20,8,1,3,5,5,1,4,17,16,19,21,20,4,20,6,6,12,11,12,14,10,4,2,11,11,3,19,16,12,5,23,17,9,7,19,13,22,19,11,1,3,13,14,3,0,11,13,3,16,0,17,16,11,12,17,15,22,13,8,4,17,21,8,20,18,23,14,16,1,0,15,4,13,5,20,20,10,15,3,13,10,22
22,11,21,18,5,22,23,4,19,23,22,15,16,1,16,16,15,5,2,4,12,9,1,9,22,5,10,13,15,21,22,18,3,19,19,14,7,3,14,5,8,13,11,4,21,4,0,12,12,9,6,19,21,22,22,23,8,17,6,6,3,21,21,7,23,18,9,21,9,2,4,6,6,2,5,18,17,20,22,21,5,21,7,7,13,12,13,15,11,5,3,12,12,4,20,17,13,6,0,18,10,8,20,14,23,20,12,2,4,14,15,4,1,12,14,4,17,1,18,17,12,13,18,16,23,14,9,5,18,22,9,21,19,0,15,17,2,1,16,5,14,6,21,21,11,16,4,14,11,23
23,12,22,19,6,23,0,5,20,0,23,16,17,2,17,17,16,6,3,5,13,10,2,10,23,6,11,14,16,22,23,19,4,20,20,15,8,4,15,6,9,14,12,5,22,5,1,13,13,10,7,20,22,23,23,0,9,18,7,7,4,22,22,8,0,19,10,22,10,3,5,7,7,3,6,19,18,21,23,22,6,22,8,8,14,13,14,16,12,6,4,13,13,5,21,18,14,7,1,19,11,9,21,15,0,21,13,3,5,15,16,5,2,13,15,5,18,2,19,18,13,14,19,17,0,15,10,6,19,23,10,22,20,1,16,18,3,2,17,6,15,7,22,22,12,17,5,15,12,0
0,13,23,20,7,0,1,6,21,1,0,17,18,3,18,18,17,7,4,6,14,11,3,11,0,7,12,15,17,23,0,20,5,21,21,16,9,5,16,7,10,15,13,6,23,6,2,14,14,11,8,21,23,0,0,1,10,19,8,8,5,23,23,9,1,20,11,23,11,4,6,8,8,4,7,20,19,22,0,23,7,23,9,9,15,14,15,17,13,7,5,14,14,6,22,19,15,8,2,20,12,10,22,16,1,22,14,4,6,16,17,6,3,14,16,6,19,3,20,19,14,15,20,18,1,16,11,7,20,0,11,23,21,2,17,19,4,3,18,7,16,8,23,23,13,18,6,16,13,1
1,14,0,21,8,1,2,7,22,2,1,18,19,4,19,19,18,8,5,7,15,12,4,12,1,8,13,16,18,0,1,21,6,22,22,17,10,6,17,8,11,16,14,7,0,7,3,15,15,12,9,22,0,1,1,2,11,20,9,9,6,0,0,10,2,21,12,0,12,5,7,9,9,5,8,21,20,23,1,0,8,0,10,10,16,15,16,18,14,8,6,15,15,7,23,20,16,9,3,21,13,11,23,17,2,23,15,5,7,17,18,7,4,15,17,7,20,4,21,20,15,16,21,19,2,17,12,8,21,1,12,0,22,3,18,20,5,4,19,8,17,9,0,0,14,19,7,17,14,2
2,15,1,22,9,2,3,8,23,3,2,19,20,5,20,20,19,9,6,8,16,13,5,13,2,9,14,17,19,1,2,22,7,23,23,18,11,7,18,9,12,17,15,8,1,8,4,16,16,13,10,23,1,2,2,3,12,21,10,10,7,1,1,11,3,22,13,1,13,6,8,10,10,6,9,22,21,0,2,1,9,1,11,11,17,16,17,19,15,9,7,16,16,8,0,21,17,10,4,22,14,12,0,18,3,0,16,6,8,18,19,8,5,16,18,8,21,5,22,21,16,17,22,20,3,18,13,9,22,2,13,1,23,4,19,21,6,5,20,9,18,10,1,1,15,20,8,18,15,3
